altitudeMeridian,altitude_09,altitude_12,altitude_15,altitude_18,azimuth_09,azimuth_12,azimuth_15,azimuth_18,date
76.53,44.23,76.04,53.08,16.44,92.42,158.5,260.0,285.35,20170601
77.01,44.24,76.1,53.14,16.5,92.31,158.31,260.1,285.41,20170602
77.08,44.26,76.17,53.2,16.56,92.2,158.12,260.19,285.46,20170603
77.16,44.27,76.23,53.25,17.02,92.1,157.52,260.27,285.51,20170604
77.22,44.28,76.28,53.31,17.07,92.0,157.33,260.35,285.56,20170605
77.29,44.29,76.34,53.36,17.13,91.5,157.14,260.43,286.0,20170606
77.35,44.3,76.38,53.41,17.18,91.41,156.55,260.49,286.04,20170607
77.4,44.3,76.43,53.46,17.23,91.33,156.36,260.55,286.07,20170608
77.45,44.3,76.46,53.51,17.28,91.25,156.17,261.01,286.1,20170609
77.5,44.3,76.5,53.55,17.33,91.17,155.58,261.05,286.13,20170610
77.54,44.29,76.53,54.0,17.37,91.1,155.4,261.09,286.15,20170611
77.58,44.29,76.55,54.04,17.42,91.03,155.22,261.13,286.17,20170612
78.02,44.28,76.58,54.08,17.46,90.57,155.05,261.16,286.18,20170613
78.05,44.27,76.59,54.12,17.5,90.51,154.48,261.18,286.2,20170614
78.08,44.25,77.01,54.16,17.54,90.45,154.31,261.2,286.2,20170615
78.1,44.24,77.02,54.2,17.57,90.41,154.15,261.21,286.21,20170616
78.12,44.22,77.02,54.23,18.01,90.36,154.0,261.21,286.21,20170617
78.13,44.2,77.03,54.26,18.04,90.33,153.45,261.21,286.2,20170618
78.14,44.18,77.02,54.3,18.07,90.29,153.31,261.2,286.19,20170619
78.15,44.16,77.02,54.33,18.1,90.27,153.17,261.18,286.18,20170620
78.15,44.13,77.01,54.35,18.13,90.24,153.04,261.16,286.17,20170621
78.15,44.1,76.59,54.38,18.15,90.23,152.52,261.13,286.15,20170622
78.14,44.07,76.58,54.4,18.17,90.21,152.41,261.1,286.13,20170623
78.13,44.04,76.56,54.42,18.19,90.21,152.31,261.06,286.1,20170624
78.12,44.01,76.53,54.44,18.21,90.2,152.22,261.01,286.07,20170625
78.1,43.58,76.5,54.46,18.22,90.21,152.13,260.56,286.04,20170626
78.08,43.54,76.47,54.47,18.24,90.22,152.06,260.5,286.0,20170627
78.05,43.5,76.43,54.49,18.25,90.23,151.59,260.43,285.56,20170628
78.02,43.46,76.39,54.49,18.25,90.25,151.54,260.36,285.52,20170629
77.59,43.42,76.35,54.5,18.26,90.27,151.49,260.29,285.47,20170630
77.55,43.38,76.3,54.51,18.26,90.3,151.46,260.2,285.42,20170701
77.5,43.34,76.25,54.51,18.26,90.34,151.43,260.12,285.36,20170702
77.46,43.3,76.2,54.51,18.26,90.38,151.42,260.02,285.31,20170703
77.41,43.25,76.14,54.51,18.25,90.42,151.41,259.52,285.25,20170704
77.35,43.2,76.08,54.5,18.24,90.48,151.42,259.42,285.18,20170705
77.29,43.16,76.02,54.49,18.23,90.53,151.43,259.31,285.12,20170706
77.23,43.11,75.55,54.48,18.22,90.59,151.46,259.2,285.05,20170707
77.16,43.06,75.49,54.46,18.2,91.06,151.49,259.08,284.58,20170708
77.09,43.01,75.41,54.45,18.18,91.13,151.53,258.55,284.5,20170709
77.02,42.55,75.34,54.43,18.16,91.21,151.58,258.42,284.42,20170710
76.54,42.5,75.26,54.4,18.14,91.29,152.04,258.29,284.34,20170711
