 format: day,hour,forecast,value  location:97_74 Start : 20180201 
 1,0200,+4,305.000000 
 1,0200,+7,323.000000 
 1,0200,+10,309.000000 
 1,0200,+13,286.000000 
 1,0200,+16,298.000000 
 1,0200,+19,288.000000 
 1,0200,+22,294.000000 
 1,0200,+25,300.000000 
 1,0200,+28,289.000000 
 1,0200,+31,305.000000 
 1,0200,+34,277.000000 
 1,0200,+37,294.000000 
 1,0200,+40,284.000000 
 1,0200,+43,268.000000 
 1,0200,+46,285.000000 
 1,0200,+49,290.000000 
 1,0200,+52,285.000000 
 1,0200,+55,276.000000 
 1,0200,+58,282.000000 
 1,0200,+61,281.000000 
 1,0500,+4,323.000000 
 1,0500,+7,309.000000 
 1,0500,+10,286.000000 
 1,0500,+13,298.000000 
 1,0500,+16,288.000000 
 1,0500,+19,294.000000 
 1,0500,+22,300.000000 
 1,0500,+25,289.000000 
 1,0500,+28,305.000000 
 1,0500,+31,277.000000 
 1,0500,+34,294.000000 
 1,0500,+37,284.000000 
 1,0500,+40,268.000000 
 1,0500,+43,285.000000 
 1,0500,+46,290.000000 
 1,0500,+49,285.000000 
 1,0500,+52,276.000000 
 1,0500,+55,282.000000 
 1,0500,+58,281.000000 
 1,0800,+4,330.000000 
 1,0800,+7,288.000000 
 1,0800,+10,287.000000 
 1,0800,+13,291.000000 
 1,0800,+16,292.000000 
 1,0800,+19,295.000000 
 1,0800,+22,294.000000 
 1,0800,+25,311.000000 
 1,0800,+28,274.000000 
 1,0800,+31,282.000000 
 1,0800,+34,279.000000 
 1,0800,+37,273.000000 
 1,0800,+40,294.000000 
 1,0800,+43,286.000000 
 1,0800,+46,295.000000 
 1,0800,+49,290.000000 
 1,0800,+52,286.000000 
 1,0800,+55,284.000000 
 1,1100,+4,288.000000 
 1,1100,+7,287.000000 
 1,1100,+10,291.000000 
 1,1100,+13,292.000000 
 1,1100,+16,295.000000 
 1,1100,+19,294.000000 
 1,1100,+22,311.000000 
 1,1100,+25,274.000000 
 1,1100,+28,282.000000 
 1,1100,+31,279.000000 
 1,1100,+34,273.000000 
 1,1100,+37,294.000000 
 1,1100,+40,286.000000 
 1,1100,+43,295.000000 
 1,1100,+46,290.000000 
 1,1100,+49,286.000000 
 1,1100,+52,284.000000 
 1,1400,+4,287.000000 
 1,1400,+7,291.000000 
 1,1400,+10,292.000000 
 1,1400,+13,295.000000 
 1,1400,+16,294.000000 
 1,1400,+19,311.000000 
 1,1400,+22,274.000000 
 1,1400,+25,282.000000 
 1,1400,+28,279.000000 
 1,1400,+31,273.000000 
 1,1400,+34,294.000000 
 1,1400,+37,286.000000 
 1,1400,+40,295.000000 
 1,1400,+43,290.000000 
 1,1400,+46,286.000000 
 1,1400,+49,284.000000 
 1,1700,+4,291.000000 
 1,1700,+7,292.000000 
 1,1700,+10,295.000000 
 1,1700,+13,294.000000 
 1,1700,+16,311.000000 
 1,1700,+19,274.000000 
 1,1700,+22,282.000000 
 1,1700,+25,279.000000 
 1,1700,+28,273.000000 
 1,1700,+31,294.000000 
 1,1700,+34,286.000000 
 1,1700,+37,295.000000 
 1,1700,+40,290.000000 
 1,1700,+43,286.000000 
