년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),"최대(시간별, kw)","최소(시간별, kw)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2017-06-01,1,785.52,33,120.96,0,120.96,1.44,0,0,0,0,0,5.28,23.28,31.44,33.12,50.16,96.72,120.96,118.8,107.76,90.96,62.64,32.88,10.08,1.44,0,0,0,0,0
2017-06-02,1,1019.28,42,135.6,0,135.6,0.96,0,0,0,0,0,5.04,31.68,60.48,85.68,122.16,133.44,135.6,127.2,114.96,95.52,65.76,32.16,8.64,0.96,0,0,0,0,0
2017-06-03,1,997.2,42,137.28,0,137.28,1.68,0,0,0,0,0,5.04,24.48,65.52,94.32,113.76,129.6,137.28,124.8,111.36,94.08,65.28,20.4,9.6,1.68,0,0,0,0,0
2017-06-04,1,1019.04,42,134.64,0,134.64,0.96,0,0,0,0,0,4.08,30.48,68.16,85.68,119.52,127.92,134.64,128.4,116.4,95.28,66,32.16,9.36,0.96,0,0,0,0,0
2017-06-05,1,1001.28,42,129.84,0,129.84,2.64,0,0,0,0,0,8.4,30.48,66,93.6,114,129.84,127.2,120.72,118.8,78.96,65.28,32.64,12.72,2.64,0,0,0,0,0
2017-06-06,1,391.2,16,67.2,0,67.2,0.96,0,0,0,0,0,1.92,13.44,24.48,39.36,64.8,44.4,67.2,51.36,32.64,27.84,16.08,6.72,0.96,0,0,0,0,0,0
2017-06-07,1,445.2,19,95.28,0,95.28,0.48,0,0,0,0,0,0,0,0.48,0.72,16.32,33.12,95.28,85.68,65.52,58.8,41.52,33.84,12.48,1.44,0,0,0,0,0
2017-06-08,1,1116.72,47,142.8,0,142.8,1.44,0,0,0,0,0,4.08,35.04,73.2,107.28,128.64,140.88,142.8,138,122.16,104.88,72.48,36.72,9.12,1.44,0,0,0,0,0
2017-06-09,1,1019.76,42,136.08,0,136.08,1.92,0,0,0,0,0,6,29.04,51.84,99.84,100.56,122.4,136.08,134.88,121.44,101.04,69.84,35.04,9.84,1.92,0,0,0,0,0
2017-06-10,1,913.68,38,126,0,126,1.68,0,0,0,0,0,4.08,24.48,60,92.4,114,119.52,126,122.16,103.68,77.04,35.76,19.2,13.68,1.68,0,0,0,0,0
2017-06-11,1,1013.76,42,135.6,0,135.6,0.24,0,0,0,0,0,0.24,22.56,54.24,84.72,103.92,129.36,132.48,135.6,124.56,101.76,68.88,36,15.84,3.6,0,0,0,0,0
2017-06-12,1,850.08,35,130.8,0,130.8,1.92,0,0,0,0,0,1.92,18.24,48.96,73.2,97.2,123.6,130.8,89.28,86.4,74.4,54,33.84,15.36,2.88,0,0,0,0,0
2017-06-13,1,1005.6,42,134.88,0,134.88,2.64,0,0,0,0,0,10.08,30.96,65.28,98.64,120.24,134.88,96.72,133.68,121.92,97.68,63.36,29.52,2.64,0,0,0,0,0,0
2017-06-14,1,1060.32,44,138.48,0,138.48,1.44,0,0,0,0,0,5.52,30.48,66.48,97.92,118.08,132,138.48,134.4,121.44,99.12,69.84,34.8,10.32,1.44,0,0,0,0,0
2017-06-15,1,1028.88,43,131.76,0,131.76,1.68,0,0,0,0,0,4.08,30.48,67.92,98.64,120.96,130.56,131.76,126.72,113.28,93.36,66,34.08,9.36,1.68,0,0,0,0,0
2017-06-16,1,1073.76,45,139.92,0,139.92,1.68,0,0,0,0,0,8.4,29.04,63.6,95.04,120.96,134.88,139.92,136.56,124.08,102,71.52,36,10.08,1.68,0,0,0,0,0
2017-06-17,1,994.56,41,129.36,0,129.36,2.4,0,0,0,0,0,5.28,27.6,60.96,88.56,110.64,121.68,129.36,128.16,107.04,97.2,66.24,35.28,14.16,2.4,0,0,0,0,0
2017-06-18,1,1003.2,42,131.52,0,131.52,1.92,0,0,0,0,0,5.76,26.64,57.36,88.08,110.88,125.04,131.52,129.84,117.84,95.76,65.76,34.8,12,1.92,0,0,0,0,0
2017-06-19,1,993.6,41,128.4,0,128.4,3.36,0,0,0,0,0,6,28.32,61.44,90.24,109.68,120,128.4,124.8,108.96,94.8,68.88,35.52,13.2,3.36,0,0,0,0,0
2017-06-20,1,290.64,12,48.72,0,48.72,0.72,0,0,0,0,0,2.88,12.96,23.76,25.92,41.52,40.8,48.72,36,30.24,19.2,7.92,0.72,0,0,0,0,0,0,0
2017-06-21,1,972.24,41,130.08,0,130.08,2.16,0,0,0,0,0,3.84,31.68,68.88,97.68,114,120.96,129.36,130.08,108.24,79.44,43.44,28.08,14.4,2.16,0,0,0,0,0
2017-06-22,1,979.68,41,133.2,0,133.2,2.64,0,0,0,0,0,4.8,26.88,48.48,92.88,110.4,88.8,129.12,133.2,122.4,100.56,69.6,36.96,12.96,2.64,0,0,0,0,0
2017-06-23,1,958.32,40,127.2,0,127.2,2.4,0,0,0,0,0,2.4,26.4,59.52,84.96,111.6,122.64,127.2,126.72,114.96,81.36,52.56,31.2,14.4,2.4,0,0,0,0,0
2017-06-24,1,591.36,25,106.8,0,106.8,2.88,0,0,0,0,0,8.16,27.12,49.92,82.08,106.8,86.64,46.8,25.44,62.88,47.52,17.76,15.6,11.76,2.88,0,0,0,0,0
2017-06-25,1,578.64,24,76.56,0,76.56,1.92,0,0,0,0,0,1.92,21.6,34.8,74.16,53.28,52.8,76.56,58.08,33.36,71.28,48.24,36,14.64,1.92,0,0,0,0,0
2017-06-26,1,520.08,22,83.04,0,83.04,0.24,0,0,0,0,0,0.24,6.96,18.96,38.64,53.04,83.04,81.84,49.92,45.12,51.6,46.08,30.48,12.72,1.44,0,0,0,0,0
2017-06-27,1,630.24,26,98.88,0,98.88,0.72,0,0,0,0,0,0,4.32,33.12,55.92,32.16,65.52,98.88,98.88,77.28,45.12,66,40.8,11.52,0.72,0,0,0,0,0
2017-06-28,1,925.2,39,129.36,0,129.36,1.2,0,0,0,0,0,4.56,24.24,54.24,85.68,105.84,122.88,129.36,123.6,106.56,65.28,56.88,34.56,10.32,1.2,0,0,0,0,0
2017-06-29,1,254.64,11,42.48,0,42.48,2.16,0,0,0,0,0,2.16,9.36,19.44,42.48,27.12,27.6,32.64,35.52,17.52,18,11.76,6.96,4.08,0,0,0,0,0,0
2017-06-30,1,632.64,26,101.28,0,101.28,1.2,0,0,0,0,0,1.2,7.44,19.44,46.08,53.76,84.96,78.72,101.28,87.6,84.96,30,22.08,13.68,1.44,0,0,0,0,0
2017-07-01,1,616.56,26,109.2,0,109.2,0.72,0,0,0,0,0,1.2,10.8,20.88,31.2,27.36,51.12,55.92,97.68,109.2,100.56,72.72,29.04,8.16,0.72,0,0,0,0,0
2017-07-02,1,382.56,16,61.44,0,61.44,3.36,0,0,0,0,0,3.36,17.28,40.8,61.44,44.4,27.84,20.88,8.16,40.08,46.8,37.44,19.92,10.32,3.84,0,0,0,0,0
2017-07-03,1,404.4,17,64.32,0,64.32,1.44,0,0,0,0,0,0,2.4,12,19.68,28.8,59.04,53.52,64.32,64.32,39.6,29.28,16.56,13.44,1.44,0,0,0,0,0
2017-07-04,1,507.6,21,111.36,0,111.36,0.48,0,0,0,0,0,0,0.48,9.84,4.56,18.96,80.16,111.36,68.4,105.36,67.44,17.52,20.4,3.12,0,0,0,0,0,0
2017-07-05,1,655.92,27,108.96,0,108.96,0.96,0,0,0,0,0,0.96,5.28,18.24,23.28,46.56,91.68,108.96,106.32,83.76,64.32,52.56,38.64,14.16,1.2,0,0,0,0,0
2017-07-06,1,399.12,17,79.2,0,79.2,0.24,0,0,0,0,0,3.12,8.88,26.64,46.8,44.64,79.2,47.52,36.96,65.52,16.56,15.36,7.68,0.24,0,0,0,0,0,0
2017-07-07,1,291.36,12,42.24,0,42.24,2.64,0,0,0,0,0,2.64,14.64,20.64,26.64,36.48,26.88,27.84,29.76,29.76,42.24,13.68,15.6,4.56,0,0,0,0,0,0
2017-07-08,1,404.64,17,64.08,0,64.08,0.96,0,0,0,0,0,0.96,12,17.04,40.8,64.08,48.72,52.08,48.24,32.64,31.2,23.76,24.96,8.16,0,0,0,0,0,0
2017-07-09,1,778.08,32,132,0,132,1.2,0,0,0,0,0,1.44,17.04,57.6,40.32,39.12,98.4,109.2,132,102,77.76,60.48,36.48,5.04,1.2,0,0,0,0,0
2017-07-10,1,128.4,5,29.28,0,29.28,0.24,0,0,0,0,0,0.24,1.92,4.08,10.32,11.52,22.56,29.28,16.08,6.24,11.04,10.32,4.32,0.48,0,0,0,0,0,0
2017-07-11,1,451.44,19,66.72,0,66.72,0.24,0,0,0,0,0,0.48,15.84,45.6,64.08,49.68,66.72,66.24,45.36,31.2,16.08,24.72,17.52,7.68,0.24,0,0,0,0,0
2017-07-12,1,967.68,40,128.88,0,128.88,1.92,0,0,0,0,0,3.12,22.08,51.84,84.72,110.88,122.4,128.88,122.88,112.32,93.12,65.04,35.52,12.96,1.92,0,0,0,0,0
2017-07-13,1,1039.44,43,133.44,0,133.44,2.4,0,0,0,0,0,2.88,24.48,58.56,90.48,114.48,128.16,133.44,131.52,121.68,101.04,75.6,39.36,15.36,2.4,0,0,0,0,0
2017-07-14,1,853.68,36,128.16,0,128.16,0.72,0,0,0,0,0,1.44,9.84,57.84,75.36,74.4,80.4,104.4,128.16,115.2,98.64,64.8,32.64,9.84,0.72,0,0,0,0,0
2017-07-15,1,617.76,26,106.56,0,106.56,1.44,0,0,0,0,0,1.44,8.4,14.88,31.68,43.2,83.04,106.56,89.76,64.8,52.56,66.24,36,15.36,3.84,0,0,0,0,0
2017-07-16,1,824.16,34,119.52,0,119.52,1.68,0,0,0,0,0,2.16,13.2,32.4,64.08,99.84,107.28,82.08,92.88,119.52,98.64,67.68,35.52,7.2,1.68,0,0,0,0,0
2017-07-17,1,724.08,30,130.08,0,130.08,1.2,0,0,0,0,0,1.2,16.56,39.84,49.92,63.12,107.76,130.08,104.88,99.6,61.68,34.08,13.68,1.68,0,0,0,0,0,0
2017-07-18,1,467.52,19,103.2,0,103.2,2.16,0,0,0,0,0,2.16,20.4,38.4,27.36,25.44,103.2,67.2,33.12,22.8,33.12,40.8,38.16,13.2,2.16,0,0,0,0,0
2017-07-19,1,841.68,35,112.56,0,112.56,1.68,0,0,0,0,0,2.4,14.4,30.48,79.68,109.68,91.44,80.88,112.56,108.96,93.36,67.68,36,12.48,1.68,0,0,0,0,0
2017-07-20,1,910.56,38,128.16,0,128.16,2.16,0,0,0,0,0,2.88,19.92,52.32,80.64,106.8,123.6,128.16,116.4,99.36,72.96,56.88,34.8,13.68,2.16,0,0,0,0,0
2017-07-21,1,945.84,39,123.6,0,123.6,2.16,0,0,0,0,0,2.16,19.44,53.52,85.44,104.4,108.96,117.6,123.6,114.96,94.08,63.84,38.64,16.32,2.88,0,0,0,0,0
2017-07-22,1,880.56,37,133.44,0,133.44,1.44,0,0,0,0,0,1.44,20.16,53.04,84,100.56,88.08,133.44,121.92,97.2,91.44,65.76,19.92,3.6,0,0,0,0,0,0
2017-07-23,1,678.24,28,102.48,0,102.48,1.2,0,0,0,0,0,3.6,25.68,31.44,62.4,86.4,93.6,100.8,102.48,80.88,35.28,28.56,21.84,4.08,1.2,0,0,0,0,0
2017-07-24,1,706.32,29,108.48,0,108.48,0.24,0,0,0,0,0,1.68,13.68,37.92,67.2,92.16,83.04,107.52,108.48,106.56,65.52,21.84,0,0.24,0.48,0,0,0,0,0
2017-07-25,1,287.28,12,48.48,0,48.48,0.48,0,0,0,0,0,2.88,18.72,29.04,31.92,32.4,35.28,48.48,20.16,38.4,12.24,9.6,6.96,0.72,0.48,0,0,0,0,0
2017-07-26,1,968.4,40,138.96,0,138.96,0.48,0,0,0,0,0,2.16,12.72,25.44,56.64,121.2,132.48,138.96,134.64,122.88,102.48,73.68,37.2,7.44,0.48,0,0,0,0,0
2017-07-27,1,1044.96,44,135.6,0,135.6,0.48,0,0,0,0,0,0.72,26.64,65.76,92.64,117.6,129.6,135.6,133.2,122.16,103.44,73.44,36.48,7.2,0.48,0,0,0,0,0
2017-07-28,1,971.04,40,127.44,0,127.44,1.2,0,0,0,0,0,1.2,21.12,60.96,91.2,110.16,121.2,127.44,118.8,113.28,92.4,60.96,36.24,13.2,2.88,0,0,0,0,0
2017-07-29,1,642.96,27,112.32,0,112.32,0.24,0,0,0,0,0,0.48,14.4,17.76,48.72,88.56,76.08,112.32,83.52,93.6,57.6,31.92,12.72,5.04,0.24,0,0,0,0,0
2017-07-30,1,834.72,35,125.28,0,125.28,0.24,0,0,0,0,0,0.24,9.12,15.12,31.68,93.6,125.04,125.28,119.28,114.72,93.12,67.2,30.48,9.36,0.48,0,0,0,0,0
2017-07-31,1,670.56,28,104.64,0,104.64,1.44,0,0,0,0,0,1.44,15.6,25.68,56.16,71.76,62.88,104.64,97.92,74.16,68.88,51.6,30.96,8.88,0,0,0,0,0,0
2017-08-01,1,817.2,34,124.8,0,124.8,0.72,0,0,0,0,0,1.68,19.2,52.56,86.88,69.84,107.04,117.36,124.8,97.44,53.28,38.16,34.56,13.68,0.72,0,0,0,0,0
2017-08-02,1,689.76,29,112.08,0,112.08,0.48,0,0,0,0,0,0.72,7.68,24.96,41.28,71.04,80.4,42.72,96,112.08,95.76,70.56,34.56,11.52,0.48,0,0,0,0,0
2017-08-03,1,1038.72,43,137.52,0,137.52,0.48,0,0,0,0,0,1.2,24.24,58.56,92.88,122.64,134.64,137.52,131.04,122.88,92.4,73.44,36.24,10.56,0.48,0,0,0,0,0
2017-08-04,1,1011.84,42,134.16,0,134.16,0.24,0,0,0,0,0,0.24,23.52,61.68,94.08,116.64,129.12,134.16,128.4,115.2,96.72,70.08,35.04,6.48,0.48,0,0,0,0,0
2017-08-05,1,1007.28,42,133.44,0,133.44,0.48,0,0,0,0,0,0.96,22.8,62.88,91.92,114.72,125.28,133.44,131.28,113.76,98.64,70.08,34.08,6.96,0.48,0,0,0,0,0
2017-08-06,1,1020.72,43,134.16,0,134.16,0.24,0,0,0,0,0,0.24,23.04,63.36,94.8,117.36,129.6,134.16,131.04,119.28,98.88,69.36,33.84,5.76,0,0,0,0,0,0
2017-08-07,1,742.8,31,111.36,0,111.36,0.72,0,0,0,0,0,1.2,23.76,60.96,94.32,105.12,111.36,53.76,85.44,49.2,82.56,46.08,23.52,4.8,0.72,0,0,0,0,0
2017-08-08,1,752.4,31,126.96,0,126.96,0.72,0,0,0,0,0,2.88,21.12,44.16,45.12,109.68,116.64,126.96,74.16,75.36,74.64,22.32,29.76,8.88,0.72,0,0,0,0,0
2017-08-09,1,244.32,10,45.36,0,45.36,1.68,0,0,0,0,0,0,6,1.68,21.12,19.68,14.64,21.36,30.24,45.36,39.84,12.24,27.12,5.04,0,0,0,0,0,0
2017-08-10,1,599.04,25,117.84,0,117.84,0.48,0,0,0,0,0,0,8.16,17.28,20.88,44.64,117.84,91.44,82.32,30.72,89.52,65.76,24.48,5.52,0.48,0,0,0,0,0
2017-08-11,1,602.4,25,89.04,0,89.04,0.48,0,0,0,0,0,0.96,21.36,59.76,77.28,40.8,33.6,87.12,38.16,89.04,80.88,57.84,11.28,3.84,0.48,0,0,0,0,0
2017-08-12,1,678.48,28,96,0,96,0.48,0,0,0,0,0,0.48,21.36,61.92,96,94.56,83.04,72.48,75.84,50.16,63.36,32.4,18.96,6.96,0.96,0,0,0,0,0
2017-08-13,1,495.12,21,119.28,0,119.28,1.68,0,0,0,0,0,1.68,10.32,31.92,30,36.72,49.92,95.04,119.28,58.8,29.76,18,10.56,3.12,0,0,0,0,0,0
2017-08-14,1,137.76,6,30,0,30,0.96,0,0,0,0,0,0,1.68,0.96,5.04,3.6,5.76,8.16,18.72,20.4,30,25.68,13.68,4.08,0,0,0,0,0,0
2017-08-15,1,316.56,13,47.28,0,47.28,0.24,0,0,0,0,0,0.24,8.88,19.2,27.84,35.04,47.28,39.84,41.52,13.2,18.96,32.4,22.56,9.6,0,0,0,0,0,0
2017-08-16,1,264.48,11,58.08,0,58.08,4.08,0,0,0,0,0,0,4.08,21.36,10.56,12.24,21.6,18.24,14.88,18.24,58.08,55.44,23.04,6.72,0,0,0,0,0,0
2017-08-17,1,552.96,23,85.68,0,85.68,0.24,0,0,0,0,0,0.24,17.52,52.8,42.24,44.16,39.12,81.12,67.68,61.92,85.68,29.28,22.32,8.64,0.24,0,0,0,0,0
2017-08-18,1,635.28,26,102,0,102,0.24,0,0,0,0,0,0.24,9.6,25.44,29.52,36.96,81.12,74.4,95.04,102,85.68,53.52,32.4,9.12,0.24,0,0,0,0,0
2017-08-19,1,663.84,28,84,0,84,0.24,0,0,0,0,0,0.96,10.8,51.36,74.88,83.76,83.52,82.8,75.12,84,46.32,43.2,20.64,6.24,0.24,0,0,0,0,0
2017-08-20,1,542.64,23,100.08,0,100.08,3.36,0,0,0,0,0,0,3.36,21.12,27.84,32.4,58.08,66.96,82.56,100.08,53.76,55.2,28.8,12.48,0,0,0,0,0,0
2017-08-21,1,417.36,17,78.24,0,78.24,0.24,0,0,0,0,0,1.44,10.8,24.48,55.92,45.12,78.24,45.12,52.08,29.04,25.92,19.2,21.12,8.64,0.24,0,0,0,0,0
2017-08-22,1,396.96,17,57.6,0,57.6,0.24,0,0,0,0,0,0.24,10.32,29.76,55.68,42,21.84,37.2,57.6,41.04,45.84,19.92,28.08,7.44,0,0,0,0,0,0
2017-08-23,1,897.36,37,122.88,0,122.88,0.24,0,0,0,0,0,0,6.96,52.8,92.88,111.36,111.12,88.8,117.6,122.88,94.08,56.16,36.96,5.52,0.24,0,0,0,0,0
2017-08-24,1,948.72,40,138.96,0,138.96,4.8,0,0,0,0,0,0,4.8,15.36,91.92,113.28,133.2,138.96,132.24,123.36,96.24,68.88,24.96,5.52,0,0,0,0,0,0
2017-08-25,1,529.68,22,106.8,0,106.8,0.24,0,0,0,0,0,0.24,9.12,20.4,59.28,57.12,45.84,17.52,40.32,106.8,78.24,64.56,26.64,3.6,0,0,0,0,0,0
2017-08-26,1,967.92,40,140.64,0,140.64,0.24,0,0,0,0,0,0.24,18,53.04,89.76,102.24,140.64,138,136.32,112.32,93.6,47.04,28.08,8.4,0.24,0,0,0,0,0
2017-08-27,1,1037.52,43,138.96,0,138.96,0.24,0,0,0,0,0,0.24,16.32,63.36,96.96,119.52,135.84,138.96,137.52,124.08,102,68.64,30.48,3.6,0,0,0,0,0,0
2017-08-28,1,939.84,39,125.28,0,125.28,0.72,0,0,0,0,0,0.72,16.56,56.64,93.12,114.24,118.56,110.88,125.28,114.48,93.6,62.88,28.08,4.8,0,0,0,0,0,0
2017-08-29,1,703.92,29,124.56,0,124.56,0.24,0,0,0,0,0,0,12.72,37.92,31.92,18.72,69.84,92.4,124.56,116.88,97.92,64.08,29.52,7.2,0.24,0,0,0,0,0
2017-08-30,1,675.12,28,113.04,0,113.04,3.6,0,0,0,0,0,0,7.68,8.64,38.16,63.12,90.24,101.28,113.04,90.72,83.04,50.88,24.72,3.6,0,0,0,0,0,0
2017-08-31,1,911.04,38,138.48,0,138.48,4.8,0,0,0,0,0,0,14.88,67.68,101.04,125.04,109.44,138.48,113.28,103.68,75.84,33.6,23.28,4.8,0,0,0,0,0,0
2017-09-01,1,867.36,36,144.96,0,144.96,2.88,0,0,0,0,0,0,4.32,19.44,38.64,99.12,91.2,144.96,138,125.52,104.88,69.6,28.8,2.88,0,0,0,0,0,0
2017-09-02,1,779.76,32,122.16,0,122.16,4.32,0,0,0,0,0,0,13.68,68.88,104.16,122.16,107.76,90.96,77.28,68.4,52.56,46.56,23.04,4.32,0,0,0,0,0,0
2017-09-03,1,931.92,39,132.72,0,132.72,3.36,0,0,0,0,0,0,13.2,67.2,97.2,103.68,80.88,123.6,132.72,123.6,92.4,64.32,29.76,3.36,0,0,0,0,0,0
2017-09-04,1,532.32,22,106.32,0,106.32,0.48,0,0,0,0,0,0,0.48,7.2,13.68,37.68,60.48,93.6,106.32,95.52,65.28,36.96,12.48,2.64,0,0,0,0,0,0
2017-09-05,1,282.24,12,54.96,0,54.96,0.24,0,0,0,0,0,0,4.08,29.52,40.8,36,24.24,23.52,54.96,30.96,22.8,10.8,4.32,0.24,0,0,0,0,0,0
2017-09-06,1,174.24,7,43.44,0,43.44,0.48,0,0,0,0,0,0,0.72,3.6,12.24,32.16,18.24,31.68,43.44,18.96,10.56,2.16,0.48,0,0,0,0,0,0,0
2017-09-07,1,349.68,15,51.36,0,51.36,0.96,0,0,0,0,0,0,0.96,15.12,12.24,40.56,44.64,28.08,48.72,51.36,47.28,26.4,25.2,9.12,0,0,0,0,0,0
2017-09-08,1,951.36,40,137.04,0,137.04,0.24,0,0,0,0,0,0.24,12.48,57.12,94.32,120.24,134.4,137.04,129.12,107.52,84.96,51.36,20.16,2.4,0,0,0,0,0,0
2017-09-09,1,767.04,32,122.88,0,122.88,3.12,0,0,0,0,0,0,11.28,47.52,72.48,80.16,98.4,122.88,122.4,76.8,64.8,42.72,24.48,3.12,0,0,0,0,0,0
2017-09-10,1,774.48,32,114,0,114,0.24,0,0,0,0,0,0.24,10.08,37.68,66.48,91.92,114,90.96,105.6,108.96,92.88,47.04,7.92,0.72,0,0,0,0,0,0
2017-09-11,1,188.16,8,65.52,0,65.52,0.24,0,0,0,0,0,0,0,0,0.48,0.24,1.92,20.88,65.52,35.28,26.4,29.28,8.16,0,0,0,0,0,0,0
2017-09-12,1,994.56,41,140.64,0,140.64,2.4,0,0,0,0,0,0,6.48,53.76,101.28,120.24,138.24,140.64,135.6,121.68,88.8,61.68,23.76,2.4,0,0,0,0,0,0
2017-09-13,1,1058.64,44,142.8,0,142.8,1.68,0,0,0,0,0,0,10.8,69.6,109.44,130.32,141.12,142.8,137.04,122.88,101.28,66.96,24.72,1.68,0,0,0,0,0,0
2017-09-14,1,1025.52,43,147.84,0,147.84,3.36,0,0,0,0,0,0,9.84,66,99.84,107.52,135.6,147.84,141.84,125.04,102,65.28,21.36,3.36,0,0,0,0,0,0
2017-09-15,1,556.08,23,87.84,0,87.84,1.44,0,0,0,0,0,0,8.4,31.44,47.28,71.28,87.84,85.68,76.32,60.48,45.84,27.36,12.72,1.44,0,0,0,0,0,0
2017-09-16,1,288.24,12,49.92,0,49.92,1.44,0,0,0,0,0,0,3.84,11.04,26.64,27.12,43.92,31.92,37.44,49.92,30.96,11.28,12.72,1.44,0,0,0,0,0,0
2017-09-17,1,284.64,12,87.6,0,87.6,0.24,0,0,0,0,0,0,0.24,2.64,14.16,13.2,15.36,26.64,29.28,87.6,48.96,30.72,13.68,2.16,0,0,0,0,0,0
2017-09-18,1,942,39,126.48,0,126.48,1.44,0,0,0,0,0,0,9.6,60.96,98.64,116.88,114.24,126.48,123.12,118.8,93.36,57.6,20.88,1.44,0,0,0,0,0,0
2017-09-19,1,655.92,27,112.08,0,112.08,0.72,0,0,0,0,0,0,6,38.64,79.92,88.8,99.6,112.08,74.64,49.68,65.28,28.56,12,0.72,0,0,0,0,0,0
2017-09-20,1,413.04,17,63.12,0,63.12,1.44,0,0,0,0,0,0,5.52,27.36,22.32,32.4,50.88,52.8,48,62.88,63.12,32.64,13.68,1.44,0,0,0,0,0,0
2017-09-21,1,845.28,35,121.2,0,121.2,1.92,0,0,0,0,0,0,7.92,57.12,88.8,98.64,121.2,98.4,102.72,96.24,92.16,62.64,17.52,1.92,0,0,0,0,0,0
2017-09-22,1,731.04,30,122.88,0,122.88,0.72,0,0,0,0,0,0,3.6,33.12,53.28,66.96,90.72,122.88,79.68,113.52,92.4,56.64,17.52,0.72,0,0,0,0,0,0
2017-09-23,1,504.24,21,85.2,0,85.2,0.48,0,0,0,0,0,0,3.84,27.6,33.6,53.28,85.2,72.24,65.28,62.16,51.36,35.28,13.92,0.48,0,0,0,0,0,0
2017-09-24,1,867.6,36,132.72,0,132.72,0.96,0,0,0,0,0,0,7.2,29.52,68.64,118.08,128.16,132.72,125.28,108,83.76,48.48,16.8,0.96,0,0,0,0,0,0
2017-09-25,1,849.6,35,123.6,0,123.6,1.2,0,0,0,0,0,0,7.44,40.32,78.96,105.84,120.24,123.6,120.48,108.24,84.24,47.28,11.76,1.2,0,0,0,0,0,0
2017-09-26,1,939.84,39,139.44,0,139.44,0.48,0,0,0,0,0,0,7.44,44.4,87.84,120.72,134.64,139.44,132.24,115.92,84,53.28,19.44,0.48,0,0,0,0,0,0
2017-09-27,1,134.64,6,27.84,0,27.84,0.48,0,0,0,0,0,0,0,0.48,1.92,13.92,27.84,15.84,20.88,19.44,18.48,12.48,3.36,0,0,0,0,0,0,0
2017-09-28,1,765.36,32,107.04,0,107.04,0.48,0,0,0,0,0,0,5.52,49.2,72.48,107.04,106.56,102.96,62.88,104.4,89.28,46.8,17.76,0.48,0,0,0,0,0,0
2017-09-29,1,1023.12,43,144.96,0,144.96,7.44,0,0,0,0,0,0,7.44,60.96,109.68,135.84,137.76,144.96,134.88,122.88,95.76,57.6,15.36,0,0,0,0,0,0,0
2017-09-30,1,992.16,41,138.48,0,138.48,0.24,0,0,0,0,0,0,7.44,57.36,101.04,128.88,138.48,138.48,135.84,119.76,93.84,56.4,14.4,0.24,0,0,0,0,0,0
2017-10-01,1,224.88,9,36.24,0,36.24,0.48,0,0,0,0,0,0,1.92,25.44,29.52,33.6,36.24,22.8,25.44,19.44,23.28,6.72,0.48,0,0,0,0,0,0,0
2017-10-02,1,342.72,14,74.4,0,74.4,0.96,0,0,0,0,0,0,0,0.96,6,16.32,34.56,51.6,72,74.4,72.96,13.92,0,0,0,0,0,0,0,0
2017-10-03,1,840.48,35,132.48,0,132.48,0.24,0,0,0,0,0,0,6.72,53.52,93.36,122.4,132.48,77.28,84.72,114.24,90.48,51.6,13.44,0.24,0,0,0,0,0,0
