,solar_result,3시간기온,강수형태,강수확률,습도,풍속,풍향,하늘상태,altitude,azimuth
2017060100,0.0,,,,,,,,,
2017060101,0.0,,,,,,,,,
2017060102,0.0,,,,,,,,,
2017060103,0.0,,,,,,,,,
2017060104,0.0,,,,,,,,,
2017060105,0.0,,,,,,,,,
2017060106,5.28,18.0,0.0,0.0,80.0,2.1,108.0,1.0,,
2017060107,23.28,19.0,0.0,0.0,75.0,2.2,109.0,1.0,,
2017060108,31.44,20.0,0.0,0.0,70.0,2.3,110.0,1.0,,
2017060109,33.12,21.0,0.0,0.0,65.0,2.4,111.0,1.0,44.23,92.42
2017060110,50.16,21.333333333333332,0.0,0.0,65.0,2.3333333333333335,112.0,1.0,,
2017060111,96.72,21.666666666666668,0.0,0.0,65.0,2.2666666666666666,113.0,1.0,,
2017060112,120.96,22.0,0.0,0.0,65.0,2.2,114.0,1.0,76.04,158.5
2017060113,118.8,21.333333333333332,0.0,0.0,63.333333333333336,2.4333333333333336,107.66666666666667,1.0,,
2017060114,107.76,20.666666666666668,0.0,0.0,61.666666666666664,2.6666666666666665,101.33333333333333,1.0,,
2017060115,90.96,20.0,0.0,0.0,60.0,2.9,95.0,1.0,53.08,260.0
2017060116,62.64,19.666666666666668,0.0,0.0,61.666666666666664,2.2666666666666666,92.0,1.0,,
2017060117,32.88,19.333333333333332,0.0,0.0,63.333333333333336,1.6333333333333333,89.0,1.0,,
2017060118,10.08,19.0,0.0,0.0,65.0,1.0,86.0,1.0,16.44,285.35
2017060119,1.44,18.333333333333332,0.0,0.0,66.66666666666667,1.3,86.0,1.0,,
2017060120,0.0,17.666666666666668,0.0,0.0,68.33333333333333,1.6,86.0,1.0,,
2017060121,0.0,17.0,0.0,0.0,70.0,1.9,86.0,1.0,,
2017060122,0.0,17.0,0.0,3.3333333333333335,71.66666666666667,1.9333333333333333,81.0,1.3333333333333333,,
2017060123,0.0,17.0,0.0,6.666666666666667,73.33333333333333,1.9666666666666666,76.0,1.6666666666666665,,
2017060200,0.0,17.0,0.0,10.0,75.0,2.0,71.0,2.0,,
2017060201,0.0,17.166666666666668,0.0,11.666666666666666,75.83333333333333,2.0,110.16666666666666,2.1666666666666665,,
2017060202,0.0,17.333333333333332,0.0,13.333333333333334,76.66666666666667,2.0,149.33333333333331,2.3333333333333335,,
2017060203,0.0,17.5,0.0,15.0,77.5,2.0,188.5,2.5,,
2017060204,0.0,17.666666666666668,0.0,16.666666666666668,78.33333333333333,2.0,227.66666666666666,2.6666666666666665,,
2017060205,0.0,17.833333333333332,0.0,18.333333333333336,79.16666666666667,2.0,266.8333333333333,2.833333333333333,,
2017060206,5.04,18.0,0.0,20.0,80.0,2.0,306.0,3.0,,
2017060207,31.68,19.0,0.0,20.0,73.33333333333333,2.2333333333333334,295.0,3.0,,
2017060208,60.48,20.0,0.0,20.0,66.66666666666667,2.466666666666667,284.0,3.0,,
2017060209,85.68,21.0,0.0,20.0,60.0,2.7,273.0,3.0,44.24,92.31
2017060210,122.16,21.666666666666668,0.0,20.0,61.666666666666664,2.9333333333333336,276.0,3.0,,
2017060211,133.44,22.333333333333332,0.0,20.0,63.333333333333336,3.1666666666666665,279.0,3.0,,
2017060212,135.6,23.0,0.0,20.0,65.0,3.4,282.0,3.0,76.1,158.31
2017060213,127.2,23.0,0.0,16.666666666666668,61.666666666666664,3.9,283.3333333333333,2.6666666666666665,,
2017060214,114.96,23.0,0.0,13.333333333333332,58.333333333333336,4.4,284.6666666666667,2.3333333333333335,,
2017060215,95.52,23.0,0.0,10.0,55.0,4.9,286.0,2.0,53.14,260.1
