 format: day,hour,forecast,value  location:97_74 Start : 20190101 
 1,0200,+4,303.000000 
 1,0200,+7,300.000000 
 1,0200,+10,307.000000 
 1,0200,+13,310.000000 
 1,0200,+16,303.000000 
 1,0200,+19,310.000000 
 1,0200,+22,302.000000 
 1,0200,+25,307.000000 
 1,0200,+28,318.000000 
 1,0200,+31,314.000000 
 1,0200,+34,312.000000 
 1,0200,+37,316.000000 
 1,0200,+40,319.000000 
 1,0200,+43,321.000000 
 1,0200,+46,308.000000 
 1,0200,+49,312.000000 
 1,0200,+52,319.000000 
 1,0200,+55,306.000000 
 1,0200,+58,312.000000 
 1,0200,+61,301.000000 
 1,0500,+4,300.000000 
 1,0500,+7,307.000000 
 1,0500,+10,310.000000 
 1,0500,+13,303.000000 
 1,0500,+16,310.000000 
 1,0500,+19,302.000000 
 1,0500,+22,307.000000 
 1,0500,+25,318.000000 
 1,0500,+28,314.000000 
 1,0500,+31,312.000000 
 1,0500,+34,316.000000 
 1,0500,+37,319.000000 
 1,0500,+40,321.000000 
 1,0500,+43,308.000000 
 1,0500,+46,312.000000 
 1,0500,+49,319.000000 
 1,0500,+52,306.000000 
 1,0500,+55,312.000000 
 1,0500,+58,301.000000 
 1,0800,+4,307.000000 
 1,0800,+7,301.000000 
 1,0800,+10,302.000000 
 1,0800,+13,311.000000 
 1,0800,+16,303.000000 
 1,0800,+19,307.000000 
 1,0800,+22,323.000000 
 1,0800,+25,316.000000 
 1,0800,+28,311.000000 
 1,0800,+31,310.000000 
 1,0800,+34,317.000000 
 1,0800,+37,311.000000 
 1,0800,+40,302.000000 
 1,0800,+43,314.000000 
 1,0800,+46,315.000000 
 1,0800,+49,312.000000 
 1,0800,+52,318.000000 
 1,0800,+55,320.000000 
 1,1100,+4,301.000000 
 1,1100,+7,302.000000 
 1,1100,+10,311.000000 
 1,1100,+13,303.000000 
 1,1100,+16,307.000000 
 1,1100,+19,323.000000 
 1,1100,+22,316.000000 
 1,1100,+25,311.000000 
 1,1100,+28,310.000000 
 1,1100,+31,317.000000 
 1,1100,+34,311.000000 
 1,1100,+37,302.000000 
 1,1100,+40,314.000000 
 1,1100,+43,315.000000 
 1,1100,+46,312.000000 
 1,1100,+49,318.000000 
 1,1100,+52,320.000000 
 1,1400,+4,302.000000 
 1,1400,+7,311.000000 
 1,1400,+10,303.000000 
 1,1400,+13,307.000000 
 1,1400,+16,323.000000 
 1,1400,+19,316.000000 
 1,1400,+22,311.000000 
 1,1400,+25,310.000000 
 1,1400,+28,317.000000 
 1,1400,+31,311.000000 
 1,1400,+34,302.000000 
 1,1400,+37,314.000000 
 1,1400,+40,315.000000 
 1,1400,+43,312.000000 
 1,1400,+46,318.000000 
 1,1400,+49,320.000000 
 1,1700,+4,311.000000 
 1,1700,+7,303.000000 
 1,1700,+10,307.000000 
 1,1700,+13,323.000000 
 1,1700,+16,316.000000 
 1,1700,+19,311.000000 
 1,1700,+22,310.000000 
 1,1700,+25,317.000000 
 1,1700,+28,311.000000 
 1,1700,+31,302.000000 
 1,1700,+34,314.000000 
 1,1700,+37,315.000000 
 1,1700,+40,312.000000 
 1,1700,+43,318.000000 
 1,1700,+46,320.000000 
 1,2000,+4,312.000000 
 1,2000,+7,310.000000 
 1,2000,+10,319.000000 
 1,2000,+13,316.000000 
 1,2000,+16,307.000000 
 1,2000,+19,313.000000 
 1,2000,+22,317.000000 
 1,2000,+25,325.000000 
 1,2000,+28,328.000000 
 1,2000,+31,318.000000 
 1,2000,+34,319.000000 
 1,2000,+37,321.000000 
 1,2000,+40,333.000000 
 1,2000,+43,317.000000 
 1,2000,+46,312.000000 
 1,2000,+49,319.000000 
 1,2000,+52,311.000000 
 1,2000,+55,316.000000 
 1,2000,+58,305.000000 
 1,2000,+61,305.000000 
 1,2000,+64,308.000000 
 1,2000,+67,315.000000 
 1,2300,+4,310.000000 
 1,2300,+7,319.000000 
 1,2300,+10,316.000000 
 1,2300,+13,307.000000 
