,solar_result,3시간기온,강수형태,강수확률,습도,풍속,풍향,하늘상태,altitude,azimuth,altitude_m,azimuth_m
2017060109,33.12,21.0,0.0,0.0,65.0,2.4,111.0,1.0,44.23,92.42,48.617683652171316,96.89730147584196
2017060110,50.16,21.333333333333332,0.0,0.0,65.0,2.3333333333333335,112.0,1.0,54.833333333333336,114.44666666666667,60.48733590219946,109.60037842039965
2017060111,96.72,21.666666666666668,0.0,0.0,65.0,2.2666666666666666,113.0,1.0,65.43666666666667,136.47333333333333,71.02121317232519,132.3837927266256
2017060112,120.96,22.0,0.0,0.0,65.0,2.2,114.0,1.0,76.04,158.5,76.2528591568106,180.0
2017060113,118.8,21.333333333333332,0.0,0.0,63.333333333333336,2.4333333333333336,107.66666666666667,1.0,68.38666666666667,192.33333333333334,71.02121317232519,227.6162072733744
2017060114,107.76,20.666666666666668,0.0,0.0,61.666666666666664,2.6666666666666665,101.33333333333333,1.0,60.733333333333334,226.16666666666669,60.48733590219946,250.39962157960036
2017060115,90.96,20.0,0.0,0.0,60.0,2.9,95.0,1.0,53.08,260.0,48.617683652171316,263.10269852415803
2017060116,62.64,19.666666666666668,0.0,0.0,61.666666666666664,2.2666666666666666,92.0,1.0,40.86666666666667,268.45,36.44259597031463,267.68395530471327
2017060117,32.88,19.333333333333332,0.0,0.0,63.333333333333336,1.6333333333333333,89.0,1.0,28.653333333333332,276.90000000000003,24.33079816444587,259.7066274295513
2017060118,10.08,19.0,0.0,0.0,65.0,1.0,86.0,1.0,16.44,285.35,12.514125266014089,288.0605035959304
2017060119,1.44,18.333333333333332,0.0,0.0,66.66666666666667,1.3,86.0,1.0,10.96,190.23333333333335,1.2237238608253693,296.2695676006066
2017060120,0.0,17.666666666666668,0.0,0.0,68.33333333333333,1.6,86.0,1.0,5.48,95.11666666666667,-9.245005080701288,305.4745213509775
2017060121,0.0,17.0,0.0,0.0,70.0,1.9,86.0,1.0,0.0,0.0,-18.47884846644029,316.2134483511251
2017060122,0.0,17.0,0.0,3.3333333333333335,71.66666666666667,1.9333333333333333,81.0,1.3333333333333333,0.0,0.0,-25.905379269347986,328.94157235787293
2017060123,0.0,17.0,0.0,6.666666666666667,73.33333333333333,1.9666666666666666,76.0,1.6666666666666665,0.0,0.0,-30.815716154454883,343.7570567144922
2017060200,0.0,17.0,0.0,10.0,75.0,2.0,71.0,2.0,0.0,0.0,-32.54714084318941,7.725862016503749e-15
2017060201,0.0,17.166666666666668,0.0,11.666666666666666,75.83333333333333,2.0,110.16666666666666,2.1666666666666665,0.0,0.0,-30.815716154454883,16.24294328550779
2017060202,0.0,17.333333333333332,0.0,13.333333333333334,76.66666666666667,2.0,149.33333333333331,2.3333333333333335,0.0,0.0,-25.905379269347986,31.058427642127043
2017060203,0.0,17.5,0.0,15.0,77.5,2.0,188.5,2.5,0.0,0.0,-18.47884846644029,43.7865516488749
2017060204,0.0,17.666666666666668,0.0,16.666666666666668,78.33333333333333,2.0,227.66666666666666,2.6666666666666665,0.0,0.0,-9.245005080701288,54.52547864902252
2017060205,0.0,17.833333333333332,0.0,18.333333333333336,79.16666666666667,2.0,266.8333333333333,2.833333333333333,0.0,0.0,1.2237238608253693,116.26956760060659
2017060206,5.04,18.0,0.0,20.0,80.0,2.0,306.0,3.0,11.06,23.0775,12.514125266014089,108.06050359593044
2017060207,31.68,19.0,0.0,20.0,73.33333333333333,2.2333333333333334,295.0,3.0,22.12,46.155,24.33079816444587,100.29337257044871
2017060208,60.48,20.0,0.0,20.0,66.66666666666667,2.466666666666667,284.0,3.0,33.18,69.2325,36.44259597031463,92.31604469528673
2017060209,85.68,21.0,0.0,20.0,60.0,2.7,273.0,3.0,44.24,92.31,48.617683652171316,96.89730147584196
2017060210,122.16,21.666666666666668,0.0,20.0,61.666666666666664,2.9333333333333336,276.0,3.0,54.86,114.31,60.48733590219946,109.60037842039965
2017060211,133.44,22.333333333333332,0.0,20.0,63.333333333333336,3.1666666666666665,279.0,3.0,65.47999999999999,136.31,71.02121317232519,132.3837927266256
2017060212,135.6,23.0,0.0,20.0,65.0,3.4,282.0,3.0,76.1,158.31,76.2528591568106,180.0
2017060213,127.2,23.0,0.0,16.666666666666668,61.666666666666664,3.9,283.3333333333333,2.6666666666666665,68.44666666666666,192.24,71.02121317232519,227.6162072733744
2017060214,114.96,23.0,0.0,13.333333333333332,58.333333333333336,4.4,284.6666666666667,2.3333333333333335,60.79333333333333,226.17000000000002,60.48733590219946,250.39962157960036
2017060215,95.52,23.0,0.0,10.0,55.0,4.9,286.0,2.0,53.14,260.1,48.617683652171316,263.10269852415803
2017060216,65.76,22.666666666666668,0.0,10.0,56.666666666666664,4.866666666666667,287.0,2.0,40.92666666666667,268.5366666666667,36.44259597031463,267.68395530471327
2017060217,32.16,22.333333333333332,0.0,10.0,58.333333333333336,4.833333333333333,288.0,2.0,28.713333333333335,276.97333333333336,24.33079816444587,259.7066274295513
2017060218,8.64,22.0,0.0,10.0,60.0,4.8,289.0,2.0,16.5,285.41,12.514125266014089,288.0605035959304
2017060219,0.96,21.333333333333332,0.0,10.0,61.666666666666664,3.9,312.6666666666667,2.0,11.0,190.27333333333337,1.2237238608253693,296.2695676006066
2017060220,0.0,20.666666666666668,0.0,10.0,63.333333333333336,3.0,336.3333333333333,2.0,5.5,95.13666666666668,-9.245005080701288,305.4745213509775
2017060221,0.0,20.0,0.0,10.0,65.0,2.1,360.0,2.0,0.0,0.0,-18.47884846644029,316.2134483511251
2017060222,0.0,19.333333333333332,0.0,10.0,66.66666666666667,1.9666666666666668,262.6666666666667,2.0,0.0,0.0,-25.905379269347986,328.94157235787293
2017060223,0.0,18.666666666666668,0.0,10.0,68.33333333333333,1.8333333333333333,165.33333333333334,2.0,0.0,0.0,-30.815716154454883,343.7570567144922
2017060300,0.0,18.0,0.0,10.0,70.0,1.7,68.0,2.0,0.0,0.0,-32.54714084318941,7.725862016503749e-15
2017060301,0.0,18.0,0.0,8.333333333333334,70.83333333333333,1.6833333333333333,57.666666666666664,1.8333333333333333,0.0,0.0,-30.815716154454883,16.24294328550779
2017060302,0.0,18.0,0.0,6.666666666666666,71.66666666666667,1.6666666666666667,47.33333333333333,1.6666666666666667,0.0,0.0,-25.905379269347986,31.058427642127043
2017060303,0.0,18.0,0.0,5.0,72.5,1.65,37.0,1.5,0.0,0.0,-18.47884846644029,43.7865516488749
2017060304,0.0,18.0,0.0,3.333333333333333,73.33333333333333,1.6333333333333333,26.666666666666664,1.3333333333333335,0.0,0.0,-9.245005080701288,54.52547864902252
2017060305,0.0,18.0,0.0,1.666666666666666,74.16666666666667,1.6166666666666667,16.33333333333333,1.1666666666666667,0.0,0.0,1.2237238608253693,116.26956760060659
2017060306,5.04,18.0,0.0,0.0,75.0,1.6,6.0,1.0,11.065,23.05,12.514125266014089,108.06050359593044
2017060307,24.48,19.333333333333332,0.0,0.0,68.33333333333333,2.4,101.0,1.0,22.13,46.1,24.33079816444587,100.29337257044871
2017060308,65.52,20.666666666666668,0.0,0.0,61.666666666666664,3.2,196.0,1.0,33.195,69.15,36.44259597031463,92.31604469528673
2017060309,94.32,22.0,0.0,0.0,55.0,4.0,291.0,1.0,44.26,92.2,48.617683652171316,96.89730147584196
2017060310,113.76,23.0,0.0,0.0,51.666666666666664,4.0,297.0,1.0,54.89666666666667,114.17333333333333,60.48733590219946,109.60037842039965
2017060311,129.6,24.0,0.0,0.0,48.333333333333336,4.0,303.0,1.0,65.53333333333333,136.14666666666668,71.02121317232519,132.3837927266256
2017060312,137.28,25.0,0.0,0.0,45.0,4.0,309.0,1.0,76.17,158.12,76.2528591568106,180.0
2017060313,124.8,24.333333333333332,0.0,0.0,46.666666666666664,3.466666666666667,231.66666666666669,1.0,68.51333333333334,192.14333333333335,71.02121317232519,227.6162072733744
2017060314,111.36,23.666666666666668,0.0,0.0,48.333333333333336,2.9333333333333336,154.33333333333334,1.0,60.85666666666667,226.16666666666669,60.48733590219946,250.39962157960036
2017060315,94.08,23.0,0.0,0.0,50.0,2.4,77.0,1.0,53.2,260.19,48.617683652171316,263.10269852415803
2017060316,65.28,22.333333333333332,0.0,0.0,53.333333333333336,2.0,81.33333333333333,1.0,40.98666666666667,268.61333333333334,36.44259597031463,267.68395530471327
2017060317,20.4,21.666666666666668,0.0,0.0,56.666666666666664,1.6,85.66666666666667,1.0,28.773333333333337,277.03666666666663,24.33079816444587,259.7066274295513
2017060318,9.6,21.0,0.0,0.0,60.0,1.2,90.0,1.0,16.56,285.46,12.514125266014089,288.0605035959304
2017060319,1.68,20.333333333333332,0.0,0.0,61.666666666666664,1.3666666666666667,85.66666666666667,1.0,11.04,190.30666666666667,1.2237238608253693,296.2695676006066
2017060320,0.0,19.666666666666668,0.0,0.0,63.333333333333336,1.5333333333333332,81.33333333333333,1.0,5.52,95.15333333333334,-9.245005080701288,305.4745213509775
2017060321,0.0,19.0,0.0,0.0,65.0,1.7,77.0,1.0,0.0,0.0,-18.47884846644029,316.2134483511251
2017060322,0.0,18.666666666666668,0.0,0.0,65.0,1.5,160.66666666666669,1.0,0.0,0.0,-25.905379269347986,328.94157235787293
2017060323,0.0,18.333333333333332,0.0,0.0,65.0,1.3,244.33333333333334,1.0,0.0,0.0,-30.815716154454883,343.7570567144922
2017060400,0.0,18.0,0.0,0.0,65.0,1.1,328.0,1.0,0.0,0.0,-32.54714084318941,7.725862016503749e-15
2017060401,0.0,18.0,0.0,0.0,60.833333333333336,1.25,319.8333333333333,1.0,0.0,0.0,-30.815716154454883,16.24294328550779
2017060402,0.0,18.0,0.0,0.0,56.666666666666664,1.4000000000000001,311.6666666666667,1.0,0.0,0.0,-25.905379269347986,31.058427642127043
2017060403,0.0,18.0,0.0,0.0,52.5,1.55,303.5,1.0,0.0,0.0,-18.47884846644029,43.7865516488749
2017060404,0.0,18.0,0.0,0.0,48.33333333333333,1.7000000000000002,295.3333333333333,1.0,0.0,0.0,-9.245005080701288,54.52547864902252
2017060405,0.0,18.0,0.0,0.0,44.166666666666664,1.85,287.1666666666667,1.0,0.0,0.0,1.2237238608253693,116.26956760060659
2017060406,4.08,18.0,0.0,0.0,40.0,2.0,279.0,1.0,11.0675,23.025,12.514125266014089,108.06050359593044
2017060407,30.48,19.666666666666668,0.0,0.0,41.666666666666664,2.066666666666667,282.6666666666667,1.0,22.135,46.05,24.33079816444587,100.29337257044871
2017060408,68.16,21.333333333333332,0.0,0.0,43.333333333333336,2.1333333333333333,286.3333333333333,1.0,33.2025,69.07499999999999,36.44259597031463,92.31604469528673
2017060409,85.68,23.0,0.0,0.0,45.0,2.2,290.0,1.0,44.27,92.1,48.617683652171316,96.89730147584196
2017060410,119.52,23.666666666666668,0.0,3.3333333333333335,46.666666666666664,2.466666666666667,216.0,1.3333333333333333,54.92333333333334,113.90666666666667,60.48733590219946,109.60037842039965
2017060411,127.92,24.333333333333332,0.0,6.666666666666667,48.333333333333336,2.7333333333333334,142.0,1.6666666666666665,65.57666666666667,135.71333333333334,71.02121317232519,132.3837927266256
2017060412,134.64,25.0,0.0,10.0,50.0,3.0,68.0,2.0,76.23,157.52,76.2528591568106,180.0
2017060413,128.4,24.0,0.0,10.0,51.666666666666664,2.9,69.33333333333333,2.0,68.57000000000001,191.77,71.02121317232519,227.6162072733744
2017060414,116.4,23.0,0.0,10.0,53.333333333333336,2.8000000000000003,70.66666666666667,2.0,60.910000000000004,226.01999999999998,60.48733590219946,250.39962157960036
2017060415,95.28,22.0,0.0,10.0,55.0,2.7,72.0,2.0,53.25,260.27,48.617683652171316,263.10269852415803
2017060416,66.0,21.666666666666668,0.0,10.0,56.666666666666664,2.7333333333333334,72.0,2.0,41.17333333333333,268.68333333333334,36.44259597031463,267.68395530471327
2017060417,32.16,21.333333333333332,0.0,10.0,58.333333333333336,2.7666666666666666,72.0,2.0,29.096666666666664,277.09666666666664,24.33079816444587,259.7066274295513
2017060418,9.36,21.0,0.0,10.0,60.0,2.8,72.0,2.0,17.02,285.51,12.514125266014089,288.0605035959304
2017060419,0.96,20.0,0.0,13.333333333333334,63.333333333333336,2.6666666666666665,71.0,2.3333333333333335,11.346666666666668,190.33999999999997,1.2237238608253693,296.2695676006066
2017060420,0.0,19.0,0.0,16.666666666666668,66.66666666666667,2.533333333333333,70.0,2.6666666666666665,5.673333333333334,95.16999999999999,-9.245005080701288,305.4745213509775
2017060421,0.0,18.0,0.0,20.0,70.0,2.4,69.0,3.0,0.0,0.0,-18.47884846644029,316.2134483511251
2017060422,0.0,17.666666666666668,0.0,20.0,71.66666666666667,2.433333333333333,67.66666666666667,3.0,0.0,0.0,-25.905379269347986,328.94157235787293
2017060423,0.0,17.333333333333332,0.0,20.0,73.33333333333333,2.466666666666667,66.33333333333333,3.0,0.0,0.0,-30.815716154454883,343.7570567144922
2017060500,0.0,17.0,0.0,20.0,75.0,2.5,65.0,3.0,0.0,0.0,-32.54714084318941,7.725862016503749e-15
